game_id,season,play_id,posteam,defteam,home_team,away_team,posteam_type,winner_team,loser_team,posteam_win,yardline_100,down,ydstogo,qtr,half,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,posteam_spread,final_home_score,final_away_score
2021_01_ARI_TEN,2021,55,TEN,ARI,TEN,ARI,home,ARI,TEN,0,75,1,10,1,1,900,1800,3600,3,3,0,0,0,-2.5,13,38
2021_01_ARI_TEN,2021,76,TEN,ARI,TEN,ARI,home,ARI,TEN,0,78,2,13,1,1,863,1763,3563,3,3,0,0,0,-2.5,13,38
2021_01_ARI_TEN,2021,100,TEN,ARI,TEN,ARI,home,ARI,TEN,0,75,3,10,1,1,822,1722,3522,3,3,0,0,0,-2.5,13,38
2021_01_ARI_TEN,2021,122,TEN,ARI,TEN,ARI,home,ARI,TEN,0,75,4,10,1,1,819,1719,3519,3,3,0,0,0,-2.5,13,38
2021_01_ARI_TEN,2021,152,ARI,TEN,TEN,ARI,away,ARI,TEN,1,61,1,10,1,1,807,1707,3507,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,181,ARI,TEN,TEN,ARI,away,ARI,TEN,1,23,1,10,1,1,775,1675,3475,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,218,ARI,TEN,TEN,ARI,away,ARI,TEN,1,31,1,18,1,1,746,1646,3446,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,253,ARI,TEN,TEN,ARI,away,ARI,TEN,1,30,2,17,1,1,714,1614,3414,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,282,ARI,TEN,TEN,ARI,away,ARI,TEN,1,9,1,9,1,1,700,1600,3400,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,303,ARI,TEN,TEN,ARI,away,ARI,TEN,1,9,2,9,1,1,662,1562,3362,3,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,343,ARI,TEN,TEN,ARI,away,ARI,TEN,1,14,2,14,1,1,634,1534,3334,2,3,0,0,0,2.5,13,38
2021_01_ARI_TEN,2021,386,ARI,TEN,TEN,ARI,away,ARI,TEN,1,24,2,24,1,1,608,1508,3308,2,3,0,0,0,2.5,13,38
