driver_id,lap,stop,time,duration,season,round,driver_join_id,stop_duration_s,team
hamilton,11,1,18:21:54,25.201,2022,1,hamilton,25.201,mercedes
alonso,11,1,18:22:10,25.365,2022,1,alonso,25.365,alpine
mick_schumacher,12,1,18:24:08,25.214,2022,1,mickschumacher,25.214,haas
albon,13,1,18:25:47,24.874,2022,1,albon,24.874,williams
max_verstappen,14,1,18:26:43,24.897,2022,1,maxverstappen,24.897,red_bull
sainz,14,1,18:26:50,24.666,2022,1,sainz,24.666,ferrari
kevin_magnussen,14,1,18:27:07,25.478,2022,1,kevinmagnussen,25.478,haas
gasly,14,1,18:27:08,24.575,2022,1,gasly,24.575,alphatauri
ocon,14,1,18:27:11,30.484,2022,1,ocon,30.484,alpine
bottas,14,1,18:27:19,25.893,2022,1,bottas,25.893,alfa
latifi,14,1,18:27:38,24.457,2022,1,latifi,24.457,williams
leclerc,15,1,18:28:19,25.012,2022,1,leclerc,25.012,ferrari
perez,15,1,18:28:32,25.046,2022,1,perez,25.046,red_bull
russell,15,1,18:28:38,25.888,2022,1,russell,25.888,mercedes
tsunoda,15,1,18:28:57,26.095,2022,1,tsunoda,26.095,alphatauri
zhou,15,1,18:29:03,25.428,2022,1,zhou,25.428,alfa
ricciardo,17,1,18:32:46,24.915,2022,1,ricciardo,24.915,mclaren
stroll,18,1,18:34:18,25.739,2022,1,stroll,25.739,aston_martin
hulkenberg,19,1,18:36:11,27.365,2022,1,hulkenberg,27.365,aston_martin
norris,24,1,18:44:41,24.568,2022,1,norris,24.568,mclaren
alonso,25,2,18:45:53,24.909,2022,1,alonso,24.909,alpine
hamilton,27,2,18:48:44,25.796,2022,1,hamilton,25.796,mercedes
tsunoda,29,2,18:52:37,24.350,2022,1,tsunoda,24.35,alphatauri
max_verstappen,30,2,18:53:16,24.937,2022,1,maxverstappen,24.937,red_bull
ocon,30,2,18:54:12,25.393,2022,1,ocon,25.393,alpine
leclerc,31,2,18:54:52,24.527,2022,1,leclerc,24.527,ferrari
gasly,32,2,18:57:23,25.875,2022,1,gasly,25.875,alphatauri
latifi,32,2,18:58:19,24.778,2022,1,latifi,24.778,williams
sainz,33,2,18:58:21,24.438,2022,1,sainz,24.438,ferrari
perez,33,2,18:58:23,24.173,2022,1,perez,24.173,red_bull
russell,33,2,18:58:45,25.334,2022,1,russell,25.334,mercedes
ricciardo,33,2,18:59:53,24.885,2022,1,ricciardo,24.885,mclaren
kevin_magnussen,34,2,19:00:39,25.876,2022,1,kevinmagnussen,25.876,haas
mick_schumacher,35,2,19:02:58,25.586,2022,1,mickschumacher,25.586,haas
albon,35,2,19:03:09,25.570,2022,1,albon,25.57,williams
bottas,36,2,19:04:16,25.156,2022,1,bottas,25.156,alfa
zhou,37,2,19:06:00,25.291,2022,1,zhou,25.291,alfa
hulkenberg,37,2,19:06:47,26.712,2022,1,hulkenberg,26.712,aston_martin
stroll,38,2,19:08:04,26.957,2022,1,stroll,26.957,aston_martin
norris,41,2,19:13:23,27.367,2022,1,norris,27.367,mclaren
alonso,42,3,19:14:26,24.508,2022,1,alonso,24.508,alpine
max_verstappen,43,3,19:14:40,24.402,2022,1,maxverstappen,24.402,red_bull
perez,43,3,19:14:56,24.947,2022,1,perez,24.947,red_bull
ocon,43,3,19:15:58,24.233,2022,1,ocon,24.233,alpine
sainz,44,3,19:16:30,24.287,2022,1,sainz,24.287,ferrari
hamilton,44,3,19:16:52,25.579,2022,1,hamilton,25.579,mercedes
tsunoda,44,3,19:17:39,24.188,2022,1,tsunoda,24.188,alphatauri
ricciardo,44,3,19:18:41,25.139,2022,1,ricciardo,25.139,mclaren
russell,45,3,19:18:53,25.574,2022,1,russell,25.574,mercedes
hulkenberg,44,3,19:18:58,25.748,2022,1,hulkenberg,25.748,aston_martin
bottas,45,3,19:19:39,25.188,2022,1,bottas,25.188,alfa
zhou,45,3,19:19:45,28.647,2022,1,zhou,28.647,alfa
leclerc,46,3,19:19:53,24.613,2022,1,leclerc,24.613,ferrari
stroll,45,3,19:20:32,25.039,2022,1,stroll,25.039,aston_martin
norris,45,3,19:20:59,24.975,2022,1,norris,24.975,mclaren
latifi,45,3,19:21:07,24.658,2022,1,latifi,24.658,williams
kevin_magnussen,46,3,19:21:29,26.051,2022,1,kevinmagnussen,26.051,haas
albon,46,3,19:22:54,25.055,2022,1,albon,25.055,williams
ricciardo,8,1,20:16:37,20.650,2022,2,ricciardo,20.65,mclaren
stroll,13,1,20:24:49,22.339,2022,2,stroll,22.339,aston_martin
albon,13,1,20:24:54,20.683,2022,2,albon,20.683,williams
perez,15,1,20:27:12,20.481,2022,2,perez,20.481,red_bull
gasly,15,1,20:27:52,22.820,2022,2,gasly,22.82,alphatauri
leclerc,16,1,20:28:55,21.038,2022,2,leclerc,21.038,ferrari
max_verstappen,16,1,20:28:58,20.731,2022,2,maxverstappen,20.731,red_bull
sainz,16,1,20:29:04,21.521,2022,2,sainz,21.521,ferrari
