team,n_stops,mean_stop_s,median_stop_s,sd_stop_s,p_stop_over_3_5,p_stop_over_4_0,mu,sigma
red_bull,251,24.072784860557768,22.994,4.302082756239108,1,1,3.1653627517204947,0.17730872389614752
ferrari,217,24.108244239631336,23.212,4.19744220178111,1,1,3.1676222296410477,0.17280993599883035
mercedes,233,24.265257510729615,23.194,4.287479429200353,1,1,3.1736742630880768,0.17533586140637702
aston_martin,236,24.34027966101695,23.4,4.382471806923368,1,1,3.1761807322344335,0.17861604087854466
alpine,214,24.386841121495326,23.6045,4.464083291854102,1,1,3.177564082471074,0.1815467215626779
mclaren,237,24.542759493670886,23.436,4.540696726242374,1,1,3.1835886186328684,0.18345715103450602
rb,71,24.65949295774648,22.737,4.693041024061172,1,1,3.187372521081196,0.1886235145440054
alphatauri,165,24.74258181818182,23.508,5.163234664046258,1,1,3.1872131942502295,0.2064583508613439
williams,232,25.206875,23.941499999999998,5.4404956664684025,1,1,3.204350901237736,0.21338169336680757
alfa,151,25.37730463576159,24.091,6.085688704924451,1,1,3.2058976442832514,0.23646400165240505
sauber,78,25.74828205128205,24.246000000000002,5.265065246441305,1,1,3.227886691310157,0.20239178401743702
haas,243,25.871534979423867,24.387,5.508179672032423,1,1,3.230977710998826,0.2105498410389218
