term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),97.56392591342433,2.1172130645609637,46.08129788470566,2.1857449261295472e-47,93.32586350443194,101.80198832241672
circuitBaku City Circuit,-15.169900943172351,0.3891490514683056,-38.982238003496384,2.6521316286488376e-43,-15.948867403434992,-14.39093448290971
circuitCircuit Park Zandvoort,11.355803646379366,0.25125596582481885,45.19615527973923,6.533241224050368e-47,10.852860186592029,11.858747106166703
circuitSilverstone Circuit,-92.18179154548872,2.053743572602295,-44.88476203905307,9.649778964216622e-47,-96.29280596271764,-88.0707771282598
constructoralphatauri,0.07574064855197069,0.29921506050766555,0.253131137261155,0.8010619425572338,-0.523203369585798,0.6746846666897395
constructoralpine,0.3071876769327278,0.31551247522289855,0.9736149948293183,0.3342909325625445,-0.32437916118688864,0.9387545150523442
constructoraston_martin,0.20072656352460597,0.2799946389882433,0.7168943100122509,0.4763164168565832,-0.35974360080509393,0.7611967278543058
constructorferrari,0.36229303783144873,0.2952667668369041,1.2270024212767832,0.2247790924900615,-0.22874761183301684,0.9533336874959143
constructorhaas,-0.3928359918455524,0.27937960678342155,-1.4061011695462926,0.1650290913250998,-0.9520750354575482,0.16640305176644343
constructormclaren,-0.09778279042681605,0.28008160836354556,-0.34912249682561847,0.7282616791691292,-0.6584270428756437,0.4628614620220116
constructormercedes,0.23209310972521427,0.29999953298583965,0.7736449034277976,0.4422827517941954,-0.36842120068794637,0.8326074201383749
constructorred_bull,0.2622584026515566,0.2986804551261601,0.8780567933070172,0.383535847660856,-0.33561548654693457,0.8601322918500478
constructorwilliams,-0.5931753875020184,0.33034119214398633,-1.7956446292761155,0.07776074240965694,-1.2544251275500167,0.06807435254597982
pit_lap,-1.6885551707382969,0.03547345311413555,-47.60053004440769,3.493406407552405e-48,-1.7595630020598683,-1.6175473394167255
stop_number3,0.5679249848209238,0.3901536224996635,1.4556445258211428,0.1508826226693638,-0.21305234283925267,1.3489023124811004
stop_number4,0.40805072682296484,0.38078018514797807,1.0716175440284241,0.2883307658855615,-0.3541636274038028,1.1702650810497324
stop_number5,0.40945306773155166,0.3821668411871169,1.071398728523061,0.2884282675689791,-0.35553698013325585,1.1744431155963593
stop_number6,NA,NA,NA,NA,NA,NA
