circuit,n_stops,mean_actual_stop_s,mean_adjusted_prediction_s,safety_car_rate,damage_crash_rate,penalty_proxy_rate,abnormal_long_stop_rate
Jeddah Corniche Circuit,90,15.879225033333332,15.879225033333235,0,0.08888888888888888,0,0.7000000000000003
Albert Park Grand Prix Circuit,70,16.285997342857144,16.285997342857033,0,0.04285714285714283,0,0.8428571428571429
Circuit Park Zandvoort,144,18.051451604166665,18.05145160416658,0,0,0,0.7916666666666665
Baku City Circuit,88,18.09896596590909,18.098965965908988,0,0.0568181818181819,0,0.8181818181818181
Autódromo José Carlos Pace,153,18.139169183006533,18.13916918300638,0,0.04575163398692813,0,0.810457516339869
Autódromo Hermanos Rodríguez,85,18.961832470588234,18.961832470588075,0,0.035294117647058816,0,0.8
Circuit de Monaco,71,20.017663887323945,20.01766388732377,0,0.028169014084507064,0,0.7605633802816902
Hungaroring,133,20.07375295488722,20.07375295488713,0,0.03007518796992481,0.007518796992481182,0.894736842105263
Las Vegas Strip Street Circuit,67,21.98768656716418,21.987686567164058,0,0.08955223880597017,0,1
Red Bull Ring,192,22.293921875,22.29392187499989,0,0.020833333333333336,0,1
Miami International Autodrome,73,22.414876712328766,22.414876712328663,0,0.06849315068493148,0,1
Yas Marina Circuit,125,22.632912,22.632911999999877,0,0.07999999999999997,0,1
Circuit de Barcelona-Catalunya,172,22.8791511627907,22.879151162790667,0,0,0,1
Circuit de Spa-Francorchamps,109,23.56421100917431,23.564211009174258,0,0.00917431192660551,0.00917431192660553,1
Silverstone Circuit,87,23.67085659770115,23.670856597701036,0,0.034482758620689655,0,0.7931034482758624
Shanghai International Circuit,39,23.743102564102564,23.743102564102443,0,0.10256410256410255,0,1
Autódromo Internacional do Algarve,60,23.768133333333335,23.768133333333154,0,0,0,1
Autodromo Enzo e Dino Ferrari,69,23.841538782608698,23.84153878260849,0,0.057971014492753624,0,0.7681159420289853
Suzuka Circuit,24,23.878329708333332,23.878329708333222,0,0.041666666666666685,0,1
Istanbul Park,20,24.73925,24.73924999999994,0,0,0,1
Circuit of the Americas,135,25.07891111111111,25.078911111111065,0,0.029629629629629613,0.022222222222222237,1
Autodromo Nazionale di Monza,104,25.424067307692308,25.424067307692162,0,0.028846153846153872,0,1
Bahrain International Circuit,190,26.055331578947367,26.055331578947175,0,0.052631578947368404,0,1
Circuit Gilles Villeneuve,106,26.40459433962264,26.40459433962253,0,0.11320754716981131,0,1
Losail International Circuit,141,28.57918439716312,28.57918439716303,0,0.07801418439716319,0,1
Sochi Autodrom,39,31.400025641025643,31.400025641025536,0,0.025641025641025633,0,1
Marina Bay Street Circuit,69,31.57323188405797,31.573231884057822,0,0.11594202898550722,0,1
Circuit Paul Ricard,47,34.69102127659574,34.69102127659582,0,0.08510638297872342,0,1
