constructor,n_stops,mean_actual_stop_s,mean_adjusted_prediction_s,safety_car_rate,damage_crash_rate,penalty_proxy_rate,abnormal_long_stop_rate
alphatauri,202,22.13880958910891,22.138809589108803,0,0.05940594059405936,0,0.9009900990099011
ferrari,259,22.38800861003861,22.388008610038497,0,0.04633204633204639,0.0038610038610038663,0.9227799227799227
red_bull,292,22.39280329109589,22.39280329109578,0,0.030821917808219166,0,0.9383561643835616
alfa,194,22.487809659793815,22.487809659793708,0,0.020618556701030976,0,0.8969072164948454
mclaren,270,22.48986195185185,22.489861951851744,0,0.0037037037037037117,0,0.922222222222222
aston_martin,271,22.50830922509225,22.50830922509214,0,0.06273062730627312,0.003690036900369021,0.9188191881918821
alpine,249,22.587892369477913,22.587892369477782,0,0.032128514056224924,0,0.9156626506024097
mercedes,278,22.861397273381296,22.86139727338119,0,0.035971223021582795,0.010791366906474836,0.9316546762589928
williams,271,23.54875201107011,23.54875201107,0,0.09963099630996308,0,0.9520295202952029
haas,272,24.109298801470587,24.10929880147048,0,0.051470588235294164,0,0.9375
rb,70,24.52268217142857,24.522682171428464,0,0.09999999999999998,0,0.9714285714285714
sauber,74,26.33992227027027,26.33992227027016,0,0.027027027027027042,0,0.972972972972973
