constructor,n_stops_used,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
mclaren,9,3.4700276666666667,3.470027666666643,2.051281,4.1390463815872485
alfa,8,3.554036,3.5540359999999644,2.040154,4.2758059546414335
mercedes,8,3.628183875,3.628183874999978,2.0487625,4.258552965694147
ferrari,7,3.7764031428571427,3.776403142857116,2.047731,4.515238932552238
alphatauri,7,3.8475042857142863,3.847504285714257,2.075695,4.468394844658676
alpine,6,4.176078333333334,4.17607833333326,2.2495975,4.836633267206794
haas,9,4.7765931111111115,4.776593111111083,2.076977,5.3233552610949335
aston_martin,9,4.794170333333334,4.794170333333318,2.0678609999999997,5.356172057816267
red_bull,7,5.496079,5.49607899999998,2.0764050000000003,5.889998855442249
williams,5,7.025038,7.0250379999999835,2.443475,6.631815050739089
