term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-2.334573015446043,0.6571996268529602,-3.552304231554856,3.8851924978819494e-4,-3.6232478716600323,-1.0458981592320533
circuitAutodromo Enzo e Dino Ferrari,9.37422515395881,0.6960253149089823,13.468224435464183,4.812284534933809e-40,8.009418653829266,10.739031654088352
circuitAutódromo Hermanos Rodríguez,3.792235986617086,0.6699021748471459,5.660880243421175,1.667387892965523e-8,2.478653243147675,5.105818730086497
circuitAutódromo Internacional do Algarve,4.589438832598471,0.7461102534411298,6.151153681954582,8.852323023012888e-10,3.12642290214641,6.052454763050533
circuitAutódromo José Carlos Pace,2.691841104407606,0.600381653643387,4.483549902086945,7.652583262973574e-6,1.5145782004596802,3.8691040083555315
circuitAutodromo Nazionale di Monza,6.1772961683776675,0.6367543459777818,9.701223411191624,6.844582896216464e-22,4.928711595717612,7.425880741037723
circuitBahrain International Circuit,6.774485491525206,0.5779249629339104,11.722084917622626,5.614684909388107e-31,5.641256959309435,7.907714023740977
circuitBaku City Circuit,2.4986417279995847,0.6570275032340878,3.8029484545175287,1.4620437919649878e-4,1.210304381684777,3.7869790743143925
circuitCircuit de Barcelona-Catalunya,3.5534596174007387,0.5842356074523368,6.0822373235623735,1.355751181887032e-9,2.4078568101776265,4.69906242462385
circuitCircuit de Monaco,5.508935099435948,0.7006032128401088,7.863131368044686,5.400964211736866e-15,4.135151993542938,6.882718205328957
circuitCircuit de Spa-Francorchamps,4.479986236565451,0.6348856294558515,7.056367365576006,2.1720499622725833e-12,3.2350659508234134,5.724906522307489
circuitCircuit Gilles Villeneuve,7.012212224287222,0.6341316431518913,11.05797557969775,8.037027232133984e-28,5.768770398288833,8.25565405028561
circuitCircuit of the Americas,5.8909932883166105,0.6075532691421875,9.696258069081221,7.173918151086414e-22,4.69966786790623,7.082318708726991
circuitCircuit Park Zandvoort,2.4625954157321823,0.6019870874728377,4.090777804006132,4.427239444918056e-5,1.2821844847239927,3.643006346740372
circuitCircuit Paul Ricard,15.537348512366489,0.7766648388981048,20.005216837690426,4.808385344245018e-83,14.014419392053084,17.06027763267989
circuitHungaroring,3.059229428870947,0.6069722245591639,5.040147316613748,4.964365926717097e-7,1.8690433541234173,4.249415503618477
circuitIstanbul Park,5.302345031385196,1.0508535304370872,5.045750790007588,4.822385863398974e-7,3.2417709426221126,7.362919120148279
circuitJeddah Corniche Circuit,3.155500699530913,0.6600592875920691,4.780632223269436,1.8427433894046957e-6,1.861218455939912,4.449782943121914
circuitLas Vegas Strip Street Circuit,2.7686988619606483,0.7047608873289589,3.928564867516991,8.763248002648769e-5,1.38676314861751,4.150634575303787
circuitLosail International Circuit,8.96001751813024,0.6033527322425322,14.850380282240183,5.517519750072182e-48,7.776928752252221,10.143106284008258
circuitMarina Bay Street Circuit,12.091757433176356,0.6998758021634025,17.277004571095674,1.816552577094533e-63,10.719400676007405,13.464114190345308
circuitMiami International Autodrome,3.047600105555188,0.6890315087723287,4.423019944305889,1.0124726627106981e-5,1.6965074630562391,4.3986927480541365
circuitRed Bull Ring,2.92726892280398,0.5753132899716658,5.088130195894046,3.8684669397097046e-7,1.799161509258369,4.055376336349591
circuitShanghai International Circuit,4.274653846866256,0.8239642655771554,5.187911691621753,2.2870106329214041e-7,2.6589772882037006,5.890330405528811
circuitSilverstone Circuit,8.63819023882163,0.6590612598365818,13.106809283500477,4.4554777664898477e-38,7.345864985499262,9.930515492144
circuitSochi Autodrom,12.138615668303414,0.8244584313975557,14.723138494353206,3.1632517578670633e-47,10.521970120856432,13.755261215750396
circuitSuzuka Circuit,4.95808937518292,1.0053362944777586,4.931771987560138,8.651142278847857e-7,2.986768102624295,6.929410647741545
circuitYas Marina Circuit,3.3666050754265315,0.6144801546208305,5.478785685933047,4.6845491264765355e-8,2.161697019263684,4.571513131589379
constructoralphatauri,-0.3450899699329217,0.4119083235823569,-0.8377834342644072,0.40222772585000777,-1.1527835199242433,0.4626035800583999
constructoralpine,-0.1149244148305496,0.39329197605320276,-0.29221144042614067,0.7701477878753842,-0.88611395904475,0.6562651293836508
constructoraston_martin,-0.21714802819162585,0.385901780218188,-0.5627028413003196,0.5736847403705017,-0.9738464510388147,0.5395503946555631
constructorferrari,-0.5835002880981722,0.38999108162106016,-1.4961887991714071,0.13472327410895502,-1.3482172485130048,0.1812166723166605
constructorhaas,0.6992597207951884,0.38638712885566906,1.809738649592517,0.07044931752166982,-0.058390401596649655,1.4569098431870264
constructormclaren,-0.5024503050675204,0.38633280548534804,-1.3005633949110134,0.19352077550672844,-1.2599939070680235,0.25509329693298277
constructormercedes,-0.3748029626392849,0.38481860765899684,-0.9739730750530983,0.3301586025135771,-1.1293774383858726,0.3797715131073027
constructorrb,0.5126139413693787,0.5746484804996128,0.8920478497110096,0.37244809339992513,-0.6141898754975339,1.6394177582362912
constructorred_bull,-0.9834170716939231,0.3809914524504494,-2.5812050778798596,0.009898764715469728,-1.7304870412196225,-0.23634710216822374
constructorsauber,2.5069170521812865,0.5635392556611759,4.44852248889038,9.002083833270649e-6,1.401896842815607,3.611937261546966
constructorwilliams,0.08467648131796499,0.38663383214110697,0.21900949756269963,0.8266594770909574,-0.6734573910760019,0.8428103537119319
pit_lap,0.018075468230276684,0.008369921361714959,2.159574439128673,0.03089486765811184,0.001663244658300013,0.034487691802253355
stop_number2,-0.3254883740295646,0.2253514083725791,-1.444359173879342,0.1487559201609872,-0.7673703866119115,0.11639363855278229
stop_number3,0.34395661578984216,0.3538859274425166,0.9719420556662646,0.33116788057134317,-0.3499632801281348,1.037876511707819
stop_number4,2.72907945040542,0.5938420246341347,4.595632065761601,4.5159377124612076e-06,1.56463982743461,3.89351907337623
stop_number5,2.875581708693132,1.0329738905349792,2.78378934360467,0.005410829724572299,0.8500670469877609,4.901096370398504
stop_number6,-1.591369278069185,1.8938664488279742,-0.8402753420411505,0.4008296568325782,-5.304971620357088,2.122233064218718
abnormal_stop_proxy1,21.363233583213212,0.3573011616037921,59.790551722030784,0,20.66261689957368,22.063850266852743
