circuit,n_stops,abnormal_stop_rate,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
Jeddah Corniche Circuit,90,0.7000000000000003,15.879225033333332,15.87922503333319,20.9415,11.595069546190032
Albert Park Grand Prix Circuit,70,0.8428571428571429,16.285997342857144,16.285997342857,18.001,7.896239938423553
Circuit Park Zandvoort,144,0.7916666666666665,18.051451604166665,18.051451604166544,19.5715,6.933859746276936
Baku City Circuit,88,0.8181818181818181,18.09896596590909,18.098965965908953,20.778,8.383137657912354
Autódromo José Carlos Pace,153,0.810457516339869,18.139169183006533,18.13916918300637,22.667,9.143907737783966
Autódromo Hermanos Rodríguez,85,0.8,18.961832470588234,18.961832470588053,22.549,9.650575430183434
Circuit de Monaco,71,0.7605633802816902,20.017663887323945,20.01766388732376,24.376,11.7102108133214
Hungaroring,133,0.894736842105263,20.07375295488722,20.073752954887095,21.855,6.874495349098218
Las Vegas Strip Street Circuit,67,1,21.98768656716418,21.98768656716403,21.568,2.186443682336443
Red Bull Ring,192,1,22.293921875,22.29392187499986,21.692,3.587147156392281
Miami International Autodrome,73,1,22.414876712328766,22.414876712328635,22.278,4.098481774948992
Yas Marina Circuit,125,1,22.632912,22.63291199999985,22.045,2.5686101583189607
Circuit de Barcelona-Catalunya,172,1,22.8791511627907,22.87915116279062,22.372500000000002,2.7012346300763626
Circuit de Spa-Francorchamps,109,1,23.56421100917431,23.56421100917423,23.268,1.5350178854875158
Silverstone Circuit,87,0.7931034482758624,23.67085659770115,23.67085659770101,28.929,11.626328203993017
Shanghai International Circuit,39,1,23.743102564102564,23.743102564102415,22.949,3.3201810809436907
Autódromo Internacional do Algarve,60,1,23.768133333333335,23.768133333333147,22.4555,2.3562487240776413
Autodromo Enzo e Dino Ferrari,69,0.7681159420289853,23.841538782608698,23.841538782608453,30.081,12.988791106636247
Suzuka Circuit,24,1,23.878329708333332,23.878329708333197,24.579,4.667163730494455
Istanbul Park,20,1,24.73925,24.739249999999902,23.506999999999998,3.2983635795090236
Circuit of the Americas,135,1,25.07891111111111,25.078911111111033,24.307,2.806540204132649
Autodromo Nazionale di Monza,104,1,25.424067307692308,25.424067307692138,24.5925,2.597709376572836
Bahrain International Circuit,190,1,26.055331578947367,26.055331578947136,24.9705,4.606172121083883
Circuit Gilles Villeneuve,106,1,26.40459433962264,26.404594339622502,24.322499999999998,8.069569244157545
Losail International Circuit,141,1,28.57918439716312,28.579184397162997,28.303,3.9915287003546416
Sochi Autodrom,39,1,31.400025641025643,31.400025641025504,30.677,2.4594937592839745
Marina Bay Street Circuit,69,1,31.57323188405797,31.573231884057797,29.976,5.18399366587113
Circuit Paul Ricard,47,1,34.69102127659574,34.6910212765958,35.969,4.624581858838989
