constructor,n_stops,abnormal_stop_rate,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
alphatauri,202,0.9009900990099011,22.13880958910891,22.138809589108774,23.0995,8.129487491554645
ferrari,259,0.9227799227799227,22.38800861003861,22.38800861003847,22.805,7.111649993971409
red_bull,292,0.9383561643835616,22.39280329109589,22.392803291095753,22.671999999999997,6.68760483181192
alfa,194,0.8969072164948454,22.487809659793815,22.48780965979368,23.7175,8.765782820630855
mclaren,270,0.922222222222222,22.48986195185185,22.48986195185171,22.826,7.237580294935601
aston_martin,271,0.9188191881918821,22.50830922509225,22.508309225092113,23.161,7.4689423901194765
alpine,249,0.9156626506024097,22.587892369477913,22.587892369477746,23.366,7.612701661085989
mercedes,278,0.9316546762589928,22.861397273381296,22.861397273381158,22.747,8.008609938619243
williams,271,0.9520295202952029,23.54875201107011,23.548752011069972,23.551,7.370394430594287
haas,272,0.9375,24.109298801470587,24.10929880147045,24.0465,7.2574659161736585
rb,70,0.9714285714285714,24.52268217142857,24.522682171428432,22.6205,7.710853343222337
sauber,74,0.972972972972973,26.33992227027027,26.33992227027013,23.3215,9.983796001278428
