term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),7.49899653087286,1.9412728727961222,3.8629275852763776,1.5971144475642143e-4,3.6665643734305022,11.331428688315219
circuitAutodromo Enzo e Dino Ferrari,-3.297098525173922,1.1208419031393952,-2.9416267503373965,0.0037260529856704065,-5.509848011964614,-1.0843490383832304
circuitAutódromo Hermanos Rodríguez,-3.3468763679428544,1.1484203504181516,-2.9143304250261868,0.004050401069391292,-5.614070816945993,-1.0796819189397149
circuitAutódromo José Carlos Pace,-4.737782877970794,1.4924006632380948,-3.1746051812193126,0.0017849967900600329,-7.684058166587913,-1.7915075893536754
circuitBaku City Circuit,-1.076796597427201,0.8592772713144022,-1.2531421851529576,0.21189526419866136,-2.773169061542136,0.6195758666877345
circuitCircuit de Monaco,-3.7615263737542084,1.1272921982556572,-3.3367802771763144,0.0010434608483402932,-5.987009937641929,-1.5360428098664882
circuitCircuit Park Zandvoort,6.469036717505735,0.791485376392022,8.173286469289897,6.955405635454714e-14,4.906498008426107,8.031575426585363
circuitHungaroring,-5.857074786340854,1.9219305024045674,-3.0474956191251166,0.002680855046724388,-9.651321522594596,-2.062828050087112
circuitJeddah Corniche Circuit,-5.101702731247096,1.4889188940991243,-3.4264477074380197,7.688619406064733e-4,-8.04110436279108,-2.162301099703113
circuitSilverstone Circuit,-5.319612666233628,1.9536961978081704,-2.722845380055323,0.007155655679726667,-9.176570767939532,-1.4626545645277234
constructoralphatauri,-0.3238947978010982,0.6657244084111559,-0.4865298518558427,0.6272256344067807,-1.638158066269051,0.9903684706668545
constructoralpine,-0.04232785049319191,0.6605975422337803,-0.06407509532969533,0.9489866086980174,-1.346469735676796,1.2618140346904123
constructoraston_martin,0.015731335001746484,0.6472248616003095,0.024305826205207322,0.9806375117327635,-1.2620104021093705,1.2934730721128636
constructorferrari,0.11584779516428856,0.663150792429905,0.17469299062404975,0.861531225610667,-1.193334678745789,1.425030269074366
constructorhaas,0.3121350701392573,0.6998195295806627,0.4460222342270028,0.6561554880842099,-1.069438281631773,1.6937084219102876
constructormclaren,-0.012348253853395929,0.6589824093084926,-0.018738366425218613,0.9850720574525151,-1.3133015675341693,1.2886050598273775
constructormercedes,0.024484206874654278,0.6919685622962001,0.03538340931762404,0.9718160203327275,-1.3415898815472391,1.3905582952965476
constructorrb,1.4525275026612894,1.6668462254186476,0.8714226186620607,0.3847670315047441,-1.8381356314733481,4.7431906367959265
constructorred_bull,0.546634509041373,0.6904781227828762,0.7916753493046796,0.42966635042720136,-0.8164971757650216,1.9097661938477675
constructorsauber,1.2749041546446733,1.7071780579276863,0.7467903823648351,0.45623394104129233,-2.095381485960981,4.645189795250328
constructorwilliams,-0.039003541099865945,0.7549822013202697,-0.05166153722784296,0.9588597599082279,-1.5294782225231285,1.4514711403233966
pit_lap,-0.07726209837533995,0.02764817662058833,-2.794473553739034,0.005803174648612281,-0.13184471922182045,-0.02267947752885946
stop_number2,-0.3204780075524767,0.6299896336448879,-0.5087036205632607,0.6116273851452416,-1.564194212868021,0.9232381977630677
stop_number3,-0.4994754174470613,0.7918084438500919,-0.6308033481158782,0.5290263136153743,-2.0626519215181514,1.0637010866240286
stop_number4,0.6708520025994822,0.9662885373901573,0.6942564013140239,0.4884803523114213,-1.2367805182877065,2.578484523486671
stop_number5,-4.359074195311535,1.0735341209813452,-4.060489657587029,7.495474880566389e-5,-6.4784293591399695,-2.2397190314830997
stop_number6,-4.771226520714496,1.515071492320482,-3.149175827608564,0.0019382373068503513,-7.762258224377005,-1.7801948170519872
