term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.4428460502994167,1.3776157845083603,1.0473501149773305,0.2974380721753953,-1.289973091590827,4.17566519218966
circuitBaku City Circuit,0.1350848473715325,1.294762921589556,0.10433172368397095,0.9171130054683481,-2.433376501663048,2.703546196406113
circuitCircuit de Monaco,0.44825821630955615,1.3620154210624245,0.3291139067719934,0.742751078250909,-2.2536140009556087,3.150130433574721
circuitCircuit Park Zandvoort,5.807109140494256,1.1592067860455508,5.009554128219248,2.325643370988625e-6,3.507554700179171,8.106663580809341
circuitSilverstone Circuit,0.6861480951950018,1.1442064715814202,0.5996715734763054,0.5500680845479219,-1.5836497562635037,2.9559459466535074
circuitSuzuka Circuit,-0.25890418279820054,1.2730252144001517,-0.20337710507972614,0.8392494789749623,-2.7842437681479884,2.2664354025515876
constructoralpine,0.046813631487178084,1.380984510994374,0.033898737541574644,0.973024803060244,-2.6926881575738486,2.7863154205482044
constructoraston_martin,0.6062818925571652,1.2922430002672272,0.46917018891322315,0.6399591991152451,-1.957180610425303,3.169744395539633
constructorferrari,0.5066749940440992,1.3310079846856948,0.38067013862711413,0.7042474977451589,-2.1336868103583737,3.1470367984465724
constructorhaas,0.6000963134002992,1.3205138248578003,0.4544415227647622,0.650486241841691,-2.0194479008016084,3.219640527602207
constructormclaren,0.18418617876534712,1.289966904657533,0.142783646696925,0.8867455140253431,-2.3747611627904797,2.7431335203211735
constructormercedes,0.08410591363646425,1.3311626475779745,0.0631822969112703,0.9497462155113704,-2.556562700340431,2.7247745276133597
constructorred_bull,0.696180066639976,1.3145384888425489,0.5296003673905072,0.5975512489051142,-1.9115106882553998,3.3038708215353516
constructorwilliams,1.1274390722795153,1.3818466741255389,0.815893031687457,0.4164813549257741,-1.613773016514408,3.868651161073439
