term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.45588839716852525,0.7860720176389123,-0.579957544523536,0.5620077371495295,-1.997482204287332,1.0857054099502814
circuitAutodromo Enzo e Dino Ferrari,11.514833041165533,0.7534218878066488,15.283380039153565,5.430785103398188e-50,10.03727056555529,12.992395516775776
circuitAutódromo Hermanos Rodríguez,2.88328905904043,0.7541486777521695,3.82323690818423,1.3568901123872705e-4,1.4043012498043232,4.3622768682765365
circuitAutódromo José Carlos Pace,3.54697047731154,0.7007027918033505,5.062018474598833,4.523377727129921e-7,2.1727972969464036,4.9211436576766765
circuitAutodromo Nazionale di Monza,6.153645016795476,0.6631920494603534,9.278828088790817,4.258103009753939e-20,4.8530354881045,7.454254545486452
circuitBahrain International Circuit,6.902721072378633,0.5964906453628386,11.57222016144073,4.901657680082195e-30,5.732922040913742,8.072520103843525
circuitBaku City Circuit,2.600149713072621,0.6924899654525373,3.7547832355569826,1.7838289309565265e-4,1.2420829987274615,3.9582164274177805
circuitCircuit de Barcelona-Catalunya,2.9417104966784065,0.6242981966190113,4.712027862021257,2.6193206930900862e-6,1.717377086879562,4.166043906477251
circuitCircuit de Monaco,5.80660468647668,0.7586504907117254,7.6538600548840785,2.9970551379911353e-14,4.318788211643108,7.294421161310252
circuitCircuit de Spa-Francorchamps,4.240385549664125,0.6379247119613557,6.647156741469829,3.8296535919104085e-11,2.9893286957113157,5.491442403616934
circuitCircuit Gilles Villeneuve,7.141287895390614,0.6302147977640574,11.331514145220375,6.654899149395491e-29,5.905351228536785,8.377224562244443
circuitCircuit of the Americas,6.062579580332952,0.6441516993321085,9.411726440555794,1.2774345226602178e-20,4.799310759852454,7.32584840081345
circuitCircuit Park Zandvoort,2.924339843589927,0.6304207600704956,4.638711204978272,3.7298502103424055e-6,1.6879992567275226,4.160680430452332
circuitCircuit Paul Ricard,19.19426765680341,0.9597037350331983,20.000201058026974,2.3378626224064645e-81,17.312158509807198,21.076376803799626
circuitHungaroring,3.0763464121107993,0.6205261304393717,4.957642009261644,7.728754886334431e-7,1.859410535530401,4.293282288691198
circuitJeddah Corniche Circuit,3.930165060008963,0.7195133925353583,5.462254213448608,5.2794602015863434e-8,2.5191017411502203,5.341228378867705
circuitLas Vegas Strip Street Circuit,2.6932739385667284,0.7055889797331251,3.81705782817839,1.3910625355091776e-4,1.3095182811715813,4.077029595961875
circuitLosail International Circuit,9.432657757366602,0.6357789663445206,14.836379082498876,2.374323057776801e-47,8.185809001501932,10.679506513231273
circuitMarina Bay Street Circuit,12.792101463453283,0.7100248007537369,18.01641498983366,1.9975798094541815e-67,11.399646559600537,14.18455636730603
circuitMiami International Autodrome,3.239433410440255,0.6844223357144671,4.733091311315282,2.364211085902844e-6,1.8971884118708244,4.581678409009686
circuitRed Bull Ring,2.459632868371458,0.6103054239743259,4.030167145417552,5.779711065422605e-5,1.2627411829559096,3.656524553787006
circuitShanghai International Circuit,4.184021054182868,0.8229756708821997,5.084015484561958,4.035261319897258e-7,2.570054179427345,5.797987928938392
circuitSilverstone Circuit,10.04685990688357,0.6971635592798756,14.41105142853611,6.763274223193085e-45,8.679627641368107,11.414092172399034
circuitSuzuka Circuit,3.832249096124045,1.0606833240870583,3.6130002321121655,3.100491320252483e-4,1.7521052835530275,5.912392908695063
circuitYas Marina Circuit,3.5415298800445894,0.6477793494649786,5.467185520763591,5.136798418626471e-8,2.2711467457941854,4.811913014294993
constructoralphatauri,-0.58772513493717915,0.493530295157818,-1.1908592860530276,0.23384833173650837,-1.5556049596459356,0.3801546897715773
constructoralpine,-0.1832140646498904,0.4594178147384598,-0.3987961693522739,0.6900854264318699,-1.084194690074211,0.7177665607744301
constructoraston_martin,-0.32357899861868317,0.45293423987201087,-0.7144061325770368,0.4750583815335171,-1.2118444546465275,0.564686457409161
constructorferrari,-0.6754500007614082,0.4568251636122821,-1.478574418756577,0.13940954220387372,-1.5713460857995436,0.2204460842767273
constructorhaas,0.6301048773746121,0.4507943295434177,1.3977657571975388,0.16233643950485338,-0.2539639243565208,1.514173679105745
constructormclaren,-0.4894515825406272,0.4519334161055693,-1.0830170221940256,0.27892974208622473,-1.375754287464574,0.3968511223833196
constructormercedes,-0.3973691385932856,0.45183014515200137,-0.8794657524667939,0.3792530927799105,-1.283469315175168,0.48873103798859685
constructorrb,0.16778030078245426,0.6075776285323428,0.27614627811057224,0.7824638821390603,-1.0237618079199082,1.3593224094848169
constructorred_bull,-0.9784157562005419,0.4480277016241346,-2.183828706693158,0.029089173765863677,-1.857058825465355,-0.0997726869357286
constructorsauber,2.13344863351596,0.5977264781171284,3.5692724207842383,3.663041333003513e-4,0.9612259664580225,3.3056713005738976
constructorwilliams,0.020732483807009563,0.45209079539696045,0.04585911506737338,0.9634270608699584,-0.8658788632458175,0.9073438308598366
pit_lap,0.005292036736180239,0.010017164189736392,0.5282968948040675,0.5973511471205424,-0.014352980429261558,0.024937053901622035
stop_number2,-0.17632981374209014,0.2635922986650502,-0.6689490346838793,0.5036042040856912,-0.6932700509061015,0.34061042342192127
stop_number3,0.34036563997321456,0.4247815118061852,0.801272255296537,0.42306800890900864,-0.49268849919572977,1.1734197791421588
stop_number4,3.5861234240983286,0.7482227362762373,4.792855456312094,1.7637663566409008e-6,2.118757189572495,5.053489658624162
stop_number5,1.637971475577963,1.2951165587098163,1.2647290041675443,0.2061139484250168,-0.90192769600303,4.177870647158956
stop_number6,-2.33210899896664,1.9193331519465209,-1.215062114985872,0.2244839832350327,-6.096181545049481,1.4319635471162004
race_has_safety_car1,1.758964716914481,0.5259380130716151,3.3444335134508885,8.395372962041416e-4,0.7275289633369881,2.7904004704919743
race_safety_car_lap_share,-12.040145957271736,3.3560420862579896,-3.587602791565878,3.4164976872425333e-4,-18.621799521464567,-5.458492393078906
abnormal_stop_proxy1,19.851076396116945,0.5428655903974218,36.56720327693701,3.0129036213340565e-225,18.78644336825742,20.91570942397647
