season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,safety_car_pit_lap,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2022,1,Bahrain Grand Prix,Bahrain International Circuit,albon,13,1,24.874,williams,0,1,0.14844444444444443,27.365299999999998,1,209,150,26.85431370373255,26.35910997196166,-1.980313703732552,-1.4851099719616627
2022,1,Bahrain Grand Prix,Bahrain International Circuit,albon,35,2,25.57,williams,0,1,0.14844444444444443,27.365299999999998,1,209,150,26.85431370373255,26.29920496641553,-1.2843137037325505,-0.72920496641553
2022,1,Bahrain Grand Prix,Bahrain International Circuit,albon,46,3,25.055,williams,0,1,0.14844444444444443,27.365299999999998,1,209,150,26.85431370373255,26.87411282422882,-1.799313703732551,-1.8191128242288208
2022,1,Bahrain Grand Prix,Bahrain International Circuit,alonso,11,1,25.365,alpine,0,1,0.14844444444444443,27.365299999999998,1,193,150,26.23395465064989,26.1445793500324,-0.86895465064989,-0.7795793500324031
2022,1,Bahrain Grand Prix,Bahrain International Circuit,alonso,25,2,24.909,alpine,0,1,0.14844444444444443,27.365299999999998,1,193,150,26.23395465064989,26.042338050596832,-1.3249546506498895,-1.1333380505968336
2022,1,Bahrain Grand Prix,Bahrain International Circuit,alonso,42,3,24.508,alpine,0,1,0.14844444444444443,27.365299999999998,1,193,150,26.23395465064989,26.648998128827202,-1.7259546506498893,-2.140998128827203
2022,1,Bahrain Grand Prix,Bahrain International Circuit,bottas,14,1,25.893,alfa,0,1,0.14844444444444443,27.365299999999998,1,133,150,26.129176257499463,26.34366952489083,-0.23617625749946214,-0.4506695248908308
2022,1,Bahrain Grand Prix,Bahrain International Circuit,bottas,36,2,25.156,alfa,0,1,0.14844444444444443,27.365299999999998,1,133,150,26.129176257499463,26.283764519344707,-0.973176257499464,-1.1277645193447086
2022,1,Bahrain Grand Prix,Bahrain International Circuit,bottas,45,3,25.188,alfa,0,1,0.14844444444444443,27.365299999999998,1,133,150,26.129176257499463,26.848088303685632,-0.941176257499464,-1.660088303685633
2022,1,Bahrain Grand Prix,Bahrain International Circuit,gasly,14,1,24.575,alphatauri,0,1,0.14844444444444443,27.365299999999998,1,138,150,25.885934263936267,25.75594438995365,-1.310934263936268,-1.1809443899536518
2022,1,Bahrain Grand Prix,Bahrain International Circuit,gasly,32,2,25.875,alphatauri,0,1,0.14844444444444443,27.365299999999998,1,138,150,25.885934263936267,25.674871237462806,-0.010934263936267286,0.2001287625371937
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hamilton,11,1,25.201,mercedes,0,1,0.14844444444444443,27.365299999999998,1,210,150,26.01055604392041,25.930424276089003,-0.8095560439204093,-0.7294242760890022
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hamilton,27,2,25.796,mercedes,0,1,0.14844444444444443,27.365299999999998,1,210,150,26.01055604392041,25.838767050125796,-0.2145560439204104,-0.0427670501257964
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hamilton,44,3,25.579,mercedes,0,1,0.14844444444444443,27.365299999999998,1,210,150,26.01055604392041,26.445427128356165,-0.43155604392040914,-0.8664271283561646
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hulkenberg,19,1,27.365,aston_martin,0,1,0.14844444444444443,27.365299999999998,1,206,150,25.97393317266695,26.046550709953046,1.3910668273330486,1.3184492900469529
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hulkenberg,37,2,26.712,aston_martin,0,1,0.14844444444444443,27.365299999999998,1,206,150,25.97393317266695,25.9654775574622,0.73806682733305,0.746522442537799
2022,1,Bahrain Grand Prix,Bahrain International Circuit,hulkenberg,44,3,25.748,aston_martin,0,1,0.14844444444444443,27.365299999999998,1,206,150,25.97393317266695,26.51921726833077,-0.22593317266694868,-0.7712172683307692
2022,1,Bahrain Grand Prix,Bahrain International Circuit,kevinmagnussen,14,1,25.478,haas,0,1,0.14844444444444443,27.365299999999998,1,212,150,27.102952394699578,26.97377440226544,-1.6249523946995765,-1.4957744022654396
2022,1,Bahrain Grand Prix,Bahrain International Circuit,kevinmagnussen,34,2,25.876,haas,0,1,0.14844444444444443,27.365299999999998,1,212,150,27.102952394699578,26.903285323246955,-1.2269523946995768,-1.0272853232469537
2022,1,Bahrain Grand Prix,Bahrain International Circuit,kevinmagnussen,46,3,26.051,haas,0,1,0.14844444444444443,27.365299999999998,1,212,150,27.102952394699578,27.48348521779642,-1.0519523946995797,-1.4324852177964225
2022,1,Bahrain Grand Prix,Bahrain International Circuit,latifi,14,1,24.457,williams,0,1,0.14844444444444443,27.365299999999998,1,209,150,26.85431370373255,26.36440200869784,-2.39731370373255,-1.90740200869784
2022,1,Bahrain Grand Prix,Bahrain International Circuit,latifi,32,2,24.778,williams,0,1,0.14844444444444443,27.365299999999998,1,209,150,26.85431370373255,26.283328856206992,-2.076313703732552,-1.5053288562069937
