circuit,n_stops,abnormal_stop_rate,safety_car_stop_rate,race_safety_car_rate,avg_race_safety_car_lap_share,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
Autódromo José Carlos Pace,75,0.6133333333333333,0,0,0,15.061171799999999,15.061171799999974,23.322,11.658597286068579
Albert Park Grand Prix Circuit,70,0.8428571428571429,0,0.31428571428571406,0.06045112781954892,16.285997342857144,16.28599734285709,18.001,7.896239938423553
Autódromo Hermanos Rodríguez,62,0.7258064516129034,0,0.3709677419354838,0.009146412781585537,17.286996129032257,17.28699612903217,22.536,10.770018466285633
Circuit Park Zandvoort,115,0.7391304347826088,0,0.6260869565217392,0.1160419790104948,17.460235052173914,17.460235052173847,19.61,7.471687628445366
Circuit de Monaco,52,0.6730769230769229,0,0.3461538461538461,0.07897827363476219,18.490906461538465,18.490906461538344,24.5665,13.388991742838801
Baku City Circuit,71,1,0,0.38028169014084506,0.04780196329492107,21.952845070422537,21.95284507042248,21.126,3.059820926823227
Las Vegas Strip Street Circuit,67,1,0,0,0,21.98768656716418,21.98768656716414,21.568,2.186443682336443
Red Bull Ring,145,1,0,0.2827586206896549,0.01836649651005312,22.150406896551726,22.150406896551683,21.814,3.284131919583908
Miami International Autodrome,73,1,0,0.34246575342465757,0.06447557704021466,22.414876712328766,22.41487671232873,22.278,4.098481774948992
Hungaroring,118,1,0,0.35593220338983056,0.04581050773925512,22.440550847457626,22.4405508474576,21.909,1.795627964805273
Circuit de Barcelona-Catalunya,135,1,0,0.37777777777777827,0.019656729900632365,22.69705925925926,22.697059259259213,22.375,1.071175151605636
Yas Marina Circuit,96,1,0,0,0,22.881,22.880999999999958,22.062,2.8781630801241045
Jeddah Corniche Circuit,61,1,0,0.3114754098360658,0.07217113154738108,22.925032786885247,22.925032786885197,21.427,6.541659274646897
Circuit de Spa-Francorchamps,109,1,0,0.3486238532110091,0.04005652858863869,23.56421100917431,23.5642110091743,23.268,1.5350178854875158
Shanghai International Circuit,39,1,0,0,0,23.743102564102564,23.743102564102514,22.949,3.3201810809436907
Suzuka Circuit,24,1,0,0.9583333333333334,0.07182774490466798,23.878329708333332,23.878329708333297,24.579,4.667163730494455
Circuit of the Americas,95,1,0,0.378947368421053,0.06417657045840408,25.223610526315788,25.223610526315756,24.391,2.7220017403293664
Autodromo Nazionale di Monza,83,1,0,0.33734939759036114,0.05593537900313921,25.315578313253013,25.315578313252963,24.538,2.585214097471978
Bahrain International Circuit,150,1,0,0.38666666666666666,0.05739851851851847,26.239913333333334,26.239913333333266,25.0595,4.973809026021988
Circuit Gilles Villeneuve,106,1,0,0.30188679245283023,0.05111058036780516,26.40459433962264,26.40459433962257,24.322499999999998,8.069569244157545
Losail International Circuit,111,1,0,0,0,29.163243243243244,29.163243243243205,28.665,4.115994355098648
Silverstone Circuit,68,1,0,0.35294117647058804,0.04507178772641911,29.708132352941178,29.708132352941135,29.177500000000002,2.028799563482901
Autodromo Enzo e Dino Ferrari,52,1,0,0.48076923076923106,0.05138964392497961,31.13776923076923,31.137769230769102,30.419,2.1531098313140826
Marina Bay Street Circuit,69,1,0,0.3043478260869562,0.09758454106280189,31.57323188405797,31.57323188405792,29.976,5.18399366587113
Circuit Paul Ricard,25,1,0,1,0.15762004175365343,38.32264,38.322639999999716,37.189,3.37280850923974
