term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.9069024177359628,0.07330303650532263,26.01396215827294,4.402273569752741e-41,1.7610523685334603,2.052752466938465
circuitAutódromo Hermanos Rodríguez,-0.6484177655955288,0.037425120482090554,-17.325736223236024,5.683970618800939e-29,-0.7228820159724711,-0.5739535152185864
circuitAutódromo José Carlos Pace,-0.45992612983127545,0.0486515556904007,-9.453472212853045,1.0098373232799909e-14,-0.5567274648033675,-0.36312479485918336
circuitCircuit de Monaco,-12.456872722371429,0.03821475345024626,-325.97024964689797,4.5639798236673124e-128,-12.532908094665661,-12.380837350077197
circuitCircuit Park Zandvoort,0.5454369117140719,0.02717079049655308,20.07438509318552,3.4928692655976754e-33,0.4913755614655675,0.5994982619625764
constructoralphatauri,-0.015183424269150501,0.0288611012957116,-0.5260861016210275,0.6002658771631301,-0.07260796279713216,0.042241114258831154
constructoralpine,-0.018296578810919756,0.028265413251871138,-0.6473133312391441,0.5192595483002593,-0.07453588498502525,0.037942727363185734
constructoraston_martin,0.019964410906525232,0.02585584250803416,0.7721431200828869,0.4422767216891307,-0.031480605313165946,0.07140942712621641
constructorferrari,-0.008176753288146365,0.027114348531677296,-0.3015655448477246,0.7637561383137194,-0.062125801731068415,0.04577229515477569
constructorhaas,0.007264135196370719,0.028835851947491345,0.2519133199046225,0.8017461424206233,-0.050110165048780894,0.06463843544152233
constructormclaren,0.03666662207837081,0.026270500446539988,1.3957336729456964,0.16660898226650084,-0.015603433370478245,0.08893667752721987
constructormercedes,0.001992866420248545,0.026942911934732024,0.07396625966325292,0.9412195913963126,-0.05161507697039151,0.05560080981088861
constructorrb,0.017574868538686186,0.049497591337129325,0.35506512668431317,0.7234636743528984,-0.08090981198885888,0.11605954906623125
constructorred_bull,-0.007044551768617286,0.026764451663669357,-0.26320553311315215,0.7930605420981038,-0.060297415198643546,0.04620831166140898
constructorsauber,-0.05743177456750228,0.05196431656437044,-1.105215624193942,0.27233823736289564,-0.16082446454341512,0.04596091540841057
constructorwilliams,0.057469284360681605,0.03030894500651462,1.8961162900367905,0.06151040019977034,-0.0028360089971879027,0.11777457771855111
pit_lap,-3.2746753697714993e-4,8.39335472513188e-4,-0.3901509559659468,0.6974490199342145,-0.001997481847428877,0.0013425467734745767
stop_number2,-0.03319619526010287,0.03340987791932056,-0.9936042071230041,0.3233745806503402,-0.09967137242453974,0.03327898190433401
stop_number3,-0.053210571844806355,0.039680461946148785,-1.34097662262651,0.18367640804909385,-0.13216224428751064,0.025741100597897935
stop_number4,-0.05584640333535352,0.046616306402120715,-1.1980014644148833,0.2344101838591734,-0.14859823063372954,0.036905423963022495
stop_number5,0.020548372784904952,0.04782307231166307,0.429674878497792,0.6685730231513012,-0.07460454013930151,0.11570128570911142
stop_number6,-0.02739316800219299,0.05699467722550616,-0.4806267766691386,0.6320773959966517,-0.14079469778762319,0.0860083617832372
race_has_safety_car1,11.775487332856056,0.02614078733073219,450.4641418742696,1.934581579376204e-139,11.723475365819702,11.827499299892409
race_safety_car_lap_share,NA,NA,NA,NA,NA,NA
