term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.8356382431685945,1.7521765651107095,1.0476331436681505,0.2988746224434476,-1.6669128033010945,5.338189289638283
circuitBaku City Circuit,0.3299973866118654,1.6181391359604804,0.2039363484129494,0.8390711661877408,-2.904616656770136,3.5646114299938665
circuitCircuit Park Zandvoort,6.124483700624907,1.4691724143653528,4.168662330398122,9.677058321047247e-5,3.187649890697407,9.061317510552406
circuitSilverstone Circuit,0.4191099400888555,1.5840580605296926,0.2645799106307439,0.7922106817769967,-2.7473770042371353,3.585596884414846
constructoralphatauri,-0.8269433510651881,2.1059861053369793,-0.3926632511817397,0.6959149867396919,-5.036749590901866,3.382862888771489
constructoralpine,-0.916504637945977,2.2015959770102773,-0.4162910213846647,0.678634654771142,-5.317432288004794,3.4844230121128406
constructoraston_martin,0.10673741579927258,1.9612077180077379,0.054424329875521864,0.9567720906767524,-3.8136609514842252,4.0271357830827705
constructorferrari,-0.02311825097591598,2.082407128367576,-0.011101696042521068,0.9911779560376401,-4.185790787449971,4.139554285498139
constructorhaas,0.052493817286842985,1.9639022810214926,0.02672934279578267,0.9787614587094973,-3.8732909047120025,3.978278539285688
constructormclaren,-0.573573438199278,1.951938443743307,-0.2938481180273873,0.7698554340965281,-4.475442790244608,3.328295913846052
constructormercedes,-0.6914125875781139,2.015174096131935,-0.34310315367057326,0.7326815194406896,-4.719688207609335,3.336863032453107
constructorred_bull,0.9286466956063435,2.087311267671039,0.4449009163077534,0.6579407291295357,-3.243829075650897,5.101122466863584
constructorwilliams,1.3648880711163172,2.3256230143786185,0.586891367464817,0.5594077493781944,-3.2839660939838478,6.013742236216482
