season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,plot_group,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,6,Azerbaijan Grand Prix,Baku City Circuit,alonso,48,4,2.014526,alpine,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,249,88,1.2491309918344828,2.0586151785694113,0.7653950081655172,-0.0440891785694113
2021,6,Azerbaijan Grand Prix,Baku City Circuit,bottas,48,3,2.035229,mercedes,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,278,88,1.474223042202346,2.1433948693598524,0.5610059577976543,-0.10816586935985217
2021,6,Azerbaijan Grand Prix,Baku City Circuit,gasly,48,3,2.00183,alphatauri,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,202,88,1.3386922787152717,1.9870424081866105,0.6631377212847283,0.014787591813389511
2021,6,Azerbaijan Grand Prix,Baku City Circuit,giovinazzi,48,4,2.017324,alfa,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,194,88,2.1656356297804598,1.7514275016366838,-0.14831162978045986,0.2658964983633161
2021,6,Azerbaijan Grand Prix,Baku City Circuit,hamilton,48,3,2.000923,mercedes,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,278,88,1.474223042202346,2.1433948693598524,0.5266999577976539,-0.14247186935985257
2021,6,Azerbaijan Grand Prix,Baku City Circuit,leclerc,48,3,2.002544,ferrari,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,259,88,2.142517378804544,2.273594797466089,-0.13997337880454408,-0.27105079746608896
2021,6,Azerbaijan Grand Prix,Baku City Circuit,mazepin,47,5,1.828965,haas,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,272,88,2.218129447067303,3.0485490214380064,-0.389164447067303,-1.2195840214380065
2021,6,Azerbaijan Grand Prix,Baku City Circuit,mickschumacher,48,5,2.014176,haas,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,272,88,2.218129447067303,1.3599938506997091,-0.203953447067303,0.6541821493002908
2021,6,Azerbaijan Grand Prix,Baku City Circuit,norris,48,3,2.010409,mclaren,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,270,88,1.592062191581182,1.8135189692078342,0.4183468084188182,0.19689003079216594
2021,6,Azerbaijan Grand Prix,Baku City Circuit,perez,48,3,1.9984659999999999,red_bull,0,0,0,2.0385726,0,0,Used in model: normal green-flag stop,292,88,3.0942823253868035,2.1735601622862077,-1.0958163253868036,-0.1750941622862079
