term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.8927474540234606,0.7479295013578264,2.5306495472999497,0.011442516596400108,0.42616348145749283,3.3593314265894283
circuitAutodromo Enzo e Dino Ferrari,10.554323822226024,0.6970654496332194,15.141080120639288,9.791222657192114e-50,9.187477061394116,11.921170583057933
circuitAutódromo Hermanos Rodríguez,4.979771933381371,0.6836019756441423,7.284607287287383,4.233203953884209e-13,3.639325140904224,6.320218725858517
circuitAutódromo Internacional do Algarve,5.093829685067909,0.7343315458881295,6.936689174788522,5.024166491649643e-12,3.653909380020495,6.5337499901153215
circuitAutódromo José Carlos Pace,4.028259311225464,0.6026681563464764,6.684042069927453,2.8228135574009968e-11,2.846512291928838,5.2100063305220905
circuitAutodromo Nazionale di Monza,6.796221789424252,0.62424120032495245,10.88717275611805,4.905822453922723e-27,5.572173081959349,8.020270496889156
circuitBahrain International Circuit,7.265935667610486,0.5674088821879528,12.805466914075664,1.7956546993913225e-36,6.153327098223005,8.378544236997966
circuitBaku City Circuit,2.2516507749713712,0.6442623656887457,3.4949283007773615,4.8196105166930007e-4,0.9883433938195423,3.5149581561232
circuitCircuit de Barcelona-Catalunya,3.9427492319611837,0.5876744473445663,6.709070387144916,2.3854593151302445e-11,2.7904027554584956,5.095095708463871
circuitCircuit de Monaco,7.258535023206711,0.6992905528311559,10.379855689197747,9.062470293486225e-25,5.8873251496997785,8.629744896713644
circuitCircuit de Spa-Francorchamps,4.75826564110521,0.6254494738828891,7.607753847109577,3.8479545705656215e-14,3.5318476800792054,5.9846836021312155
circuitCircuit Gilles Villeneuve,7.632922757326911,0.6213919186047291,12.28358871236344,9.015649997959313e-34,6.41446108834173,8.851384426312093
circuitCircuit of the Americas,6.419058231150076,0.5951267273879329,10.786035873945579,1.4136090133669323e-26,5.2520988874575885,7.586017574842563
circuitCircuit Park Zandvoort,2.4911162535945937,0.588355796589409,4.23403027221817,2.3734831413502057e-5,1.3374337475859268,3.6447987596032605
circuitCircuit Paul Ricard,15.982647497573378,0.7601644482795337,21.025249909735468,6.70461864010506e-91,14.492072524481298,17.47322247066546
circuitHungaroring,3.857326886940205,0.6010721079337945,6.4174112157689285,1.6360987701616713e-10,2.678709492851876,5.0359442810285335
circuitIstanbul Park,6.400930253798544,1.031873271378903,6.203213545055697,6.397441176288837e-10,4.377572706361059,8.424287801236028
circuitJeddah Corniche Circuit,4.677677577899987,0.6569129224142783,7.12069654636819,1.3769059675879857e-12,3.3895642441763973,5.965790911623576
circuitLas Vegas Strip Street Circuit,3.3360761516596926,0.6933670738788437,4.811414151809905,1.5825774142561897e-6,1.9764813826211913,4.695670920698194
circuitLosail International Circuit,9.744906944190422,0.5978798549263272,16.29910568803363,5.372967370172482e-57,8.572549106769705,10.91726478161114
circuitMarina Bay Street Circuit,13.055828689561567,0.6961632859025304,18.753974755556857,8.643220880445966e-74,11.690750944212612,14.420906434910522
circuitMiami International Autodrome,3.7073113881412776,0.6743450955632242,5.497647143180999,4.215701063535691e-8,2.3850160283031605,5.029606747979395
circuitRed Bull Ring,3.461598159955401,0.5737423800631112,6.033366682054458,1.8295754683173915e-9,2.336570496980724,4.586625822930078
circuitShanghai International Circuit,4.823029622275551,0.8084180987688417,5.966008961972341,2.7547450896816675e-9,3.237836065083039,6.408223179468063
circuitSilverstone Circuit,8.177593537637016,0.6466794820511039,12.645512598760293,1.2372304406151634e-35,6.9095465331511345,9.445640542122897
circuitSochi Autodrom,13.002630634814125,0.8114576764891835,16.023793984019875,3.1336896924356532e-55,11.411476895599204,14.593784374029045
circuitSuzuka Circuit,4.219241753884032,1.0207794394701692,4.133352995505091,3.685933778625016e-5,2.217637641820005,6.220845865948059
circuitYas Marina Circuit,4.105954505705536,0.6077679220360783,6.755793382365774,1.739451211959132e-11,2.9142075671509664,5.297701444260105
constructoralphatauri,-0.3862196047569582,0.40175512650546297,-0.9613308686720803,0.3364734385834368,-1.1740045876456524,0.40156537813173593
constructoralpine,-0.0061456502508520005,0.3838365726971748,-0.016011111728273398,0.98722673087969115,-0.7587948833408177,0.7465035828391137
constructoraston_martin,-0.1608145167068421,0.3765458409954868,-0.427078191281283,0.6693570333422131,-0.8991676560572741,0.5775386226435899
constructorferrari,-0.5209997488109679,0.38046786997490173,-1.3693659568292498,0.1710008139023873,-1.267043432297855,0.2250439346759191
constructorhaas,0.7104227744835032,0.3770973128185406,1.8839242559794083,0.05968448735009901,-0.0290117231173308,1.4498572720843372
constructormclaren,-0.4219674633686841,0.3768597893808987,-1.1196935180107377,0.2629457459255072,-1.1609362111012191,0.31700128436385083
constructormercedes,-0.27087971727489124,0.3755192231277807,-0.7213471390856521,0.47075952421165146,-1.0072198041812168,0.46546036963143433
constructorrb,0.8513079191001202,0.5635150398201516,1.510710201047729,0.13098139356271676,-0.2536653761098503,1.9562812143100907
constructorred_bull,-0.8426616115365936,0.37186236792147503,-2.2660577789751923,0.023528085484675176,-1.5718311225720303,-0.11349210050115677
constructorsauber,2.8769487561375486,0.5531211985588791,5.201299034702068,2.1299468902526474e-7,1.7923563136409737,3.961541198634124
constructorwilliams,0.10834988278173098,0.3772233758678213,0.2872300332196186,0.7739586233650397,-0.6313318066296577,0.8480315721931196
pit_lap,6.204997566481636e-4,0.00829707643899288,0.07478534893713494,0.9403911373037821,-0.015648893685502013,0.016889893198798342
stop_number2,0.17387409291076808,0.2241112693850957,0.7758382404768593,0.43791365573525787,-0.26557641031834367,0.6133245961398798
stop_number3,0.6232236263695888,0.3465656735278368,1.79828434831856,0.07224559904660936,-0.056342644668954334,1.302789897408132
stop_number4,2.107091119755065,0.5825845785506263,3.6167986543639,3.0383060940545166e-4,0.9647251560976442,3.249457083412486
stop_number5,0.6251277517667185,1.0297878681576815,0.6070451702689885,0.5438728829638725,-1.3941406148923257,2.644396118425763
stop_number6,-3.02567068791093,1.8545420041812337,-1.6314921317981905,0.10290520646422634,-6.662165270414811,0.6108238945929516
race_has_safety_car1,1.4400961656624374,0.4909688409528691,2.9331722210059366,0.0033839272747832458,0.4773757062293488,2.402816625095526
race_safety_car_lap_share,-5.308846536556409,3.136422245774432,-1.6926440767689337,0.09064064967612448,-11.458926976626493,0.8412339035136762
abnormal_stop_proxy1,16.600931255330263,0.5408798701476658,30.6924553335624,2.6851701109139065e-177,15.54034232655819,17.661520184102336
very_short_stop_proxy1,-7.429397749727538,0.6641023048759152,-11.187128391484338,2.0181121547759304e-28,-8.731608445664733,-6.127187053790342
