circuit,n_stops,abnormal_stop_rate,very_short_stop_rate,under_safety_car_rate,race_safety_car_rate,avg_race_safety_car_lap_share,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
Jeddah Corniche Circuit,90,0.7000000000000003,0.3222222222222219,0,0.21111111111111108,0.048915989159891614,15.879225033333332,15.879225033333235,20.9415,11.595069546190032
Albert Park Grand Prix Circuit,70,0.8428571428571429,0,0,0.31428571428571406,0.06045112781954892,16.285997342857144,16.28599734285703,18.001,7.896239938423553
Circuit Park Zandvoort,144,0.7916666666666665,0,0,0.5,0.09267241379310351,18.051451604166665,18.051451604166576,19.5715,6.933859746276936
Baku City Circuit,88,0.8181818181818181,0,0,0.30681818181818193,0.03856749311294767,18.09896596590909,18.098965965908988,20.778,8.383137657912354
Autódromo José Carlos Pace,153,0.810457516339869,0.20261437908496774,0,0,0,18.139169183006533,18.13916918300639,22.667,9.143907737783966
Autódromo Hermanos Rodríguez,85,0.8,0.21176470588235297,0,0.27058823529411763,0.006671501087744742,18.961832470588234,18.961832470588075,22.549,9.650575430183434
Circuit de Monaco,71,0.7605633802816902,0.25352112676056343,0,0.25352112676056343,0.057843242662079346,20.017663887323945,20.01766388732377,24.376,11.7102108133214
Hungaroring,133,0.894736842105263,0.11278195488721791,0,0.31578947368421095,0.04064390912204593,20.07375295488722,20.073752954887127,21.855,6.874495349098218
Las Vegas Strip Street Circuit,67,1,0,0,0,0,21.98768656716418,21.98768656716406,21.568,2.186443682336443
Red Bull Ring,192,1,0,0,0.21354166666666657,0.013870531218529701,22.293921875,22.29392187499989,21.692,3.587147156392281
Miami International Autodrome,73,1,0,0,0.34246575342465757,0.06447557704021466,22.414876712328766,22.414876712328667,22.278,4.098481774948992
Yas Marina Circuit,125,1,0,0,0,0,22.632912,22.63291199999988,22.045,2.5686101583189607
Circuit de Barcelona-Catalunya,172,1,0,0,0.2965116279069767,0.015428247305728879,22.8791511627907,22.87915116279066,22.372500000000002,2.7012346300763626
Circuit de Spa-Francorchamps,109,1,0,0,0.3486238532110091,0.04005652858863869,23.56421100917431,23.56421100917426,23.268,1.5350178854875158
Silverstone Circuit,87,0.7931034482758624,0,0,0.2758620689655172,0.03522852374018962,23.67085659770115,23.67085659770104,28.929,11.626328203993017
Shanghai International Circuit,39,1,0,0,0,0,23.743102564102564,23.743102564102447,22.949,3.3201810809436907
Autódromo Internacional do Algarve,60,1,0,0,0,0,23.768133333333335,23.76813333333316,22.4555,2.3562487240776413
Autodromo Enzo e Dino Ferrari,69,0.7681159420289853,0.24637681159420277,0,0.36231884057971014,0.03872842730578173,23.841538782608698,23.841538782608485,30.081,12.988791106636247
Suzuka Circuit,24,1,0,0,0.9583333333333334,0.07182774490466798,23.878329708333332,23.878329708333226,24.579,4.667163730494455
Istanbul Park,20,1,0,0,0,0,24.73925,24.739249999999938,23.506999999999998,3.2983635795090236
Circuit of the Americas,135,1,0,0,0.26666666666666655,0.04516129032258065,25.07891111111111,25.078911111111065,24.307,2.806540204132649
Autodromo Nazionale di Monza,104,1,0,0,0.269230769230769,0.04464073516596685,25.424067307692308,25.424067307692162,24.5925,2.597709376572836
Bahrain International Circuit,190,1,0,0,0.30526315789473707,0.045314619883040974,26.055331578947367,26.055331578947168,24.9705,4.606172121083883
Circuit Gilles Villeneuve,106,1,0,0,0.30188679245283023,0.05111058036780516,26.40459433962264,26.40459433962253,24.322499999999998,8.069569244157545
Losail International Circuit,141,1,0,0,0,0,28.57918439716312,28.57918439716303,28.303,3.9915287003546416
Sochi Autodrom,39,1,0,0,0,0,31.400025641025643,31.40002564102554,30.677,2.4594937592839745
Marina Bay Street Circuit,69,1,0,0,0.3043478260869562,0.09758454106280189,31.57323188405797,31.573231884057822,29.976,5.18399366587113
Circuit Paul Ricard,47,1,0,0,0.5319148936170216,0.08384044774130503,34.69102127659574,34.69102127659583,35.969,4.624581858838989
