constructor,n_stops,abnormal_stop_rate,very_short_stop_rate,under_safety_car_rate,race_safety_car_rate,actual_mean_stop_s,adjusted_pred_mean_stop_s,median_stop_s,sd_stop_s
alphatauri,202,0.9009900990099011,0.06435643564356433,0,0.34653465346534645,22.13880958910891,22.138809589108803,23.0995,8.129487491554645
ferrari,259,0.9227799227799227,0.05019305019305018,0,0.2432432432432435,22.38800861003861,22.388008610038497,22.805,7.111649993971409
red_bull,292,0.9383561643835616,0.04109589041095892,0,0.2363013698630134,22.39280329109589,22.39280329109578,22.671999999999997,6.68760483181192
alfa,194,0.8969072164948454,0.0721649484536082,0,0.3041237113402058,22.487809659793815,22.487809659793708,23.7175,8.765782820630855
mclaren,270,0.922222222222222,0.04814814814814814,0,0.25185185185185144,22.48986195185185,22.489861951851744,22.826,7.237580294935601
aston_martin,271,0.9188191881918821,0.05166051660516602,0,0.23247232472324741,22.50830922509225,22.50830922509214,23.161,7.4689423901194765
alpine,249,0.9156626506024097,0.060240963855421714,0,0.2329317269076309,22.587892369477913,22.587892369477782,23.366,7.612701661085989
mercedes,278,0.9316546762589928,0.0431654676258993,0,0.24100719424460387,22.861397273381296,22.86139727338119,22.747,8.008609938619243
williams,271,0.9520295202952029,0.03690036900369008,0,0.2583025830258299,23.54875201107011,23.54875201107,23.551,7.370394430594287
haas,272,0.9375,0.029411764705882408,0,0.2316176470588237,24.109298801470587,24.10929880147048,24.0465,7.2574659161736585
rb,70,0.9714285714285714,0.02857142857142859,0,0,24.52268217142857,24.52268217142846,22.6205,7.710853343222337
sauber,74,0.972972972972973,0.027027027027027056,0,0,26.33992227027027,26.33992227027016,23.3215,9.983796001278428
