term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.814402026273896,0.048155773449344075,37.67776730203489,1.483372713246147e-83,1.7193294813396334,1.9094745712081587
circuitAutodromo Enzo e Dino Ferrari,-0.3284839581241176,0.027680766918401756,-11.866866228541754,6.0324383929201835e-24,-0.3831332923193811,-0.27383462392885416
circuitAutódromo Hermanos Rodríguez,-0.6310067337673423,0.02824631680212727,-22.33943413534965,4.8500340146238544e-52,-0.6867726166727957,-0.5752408508618889
circuitAutódromo José Carlos Pace,-0.4268681759211479,0.03699668755645535,-11.538010673787092,5.073365085008088e-23,-0.4999096616700988,-0.353826690172197
circuitBaku City Circuit,0.1480567442493777,0.02091660839838698,7.078429802261602,3.847502336344276e-11,0.10676169176891326,0.18935179672984215
circuitCircuit de Monaco,-12.43393120627702,0.03172121196354309,-391.9752883517574,1.8766999270988646e-249,-12.496557473778374,-12.371304938775666
circuitCircuit Park Zandvoort,0.5596106731649636,0.02210253866374842,25.318841499542838,4.629693842778158e-59,0.5159742730045355,0.6032470733253917
circuitHungaroring,-0.36667012373557417,0.047620003088773996,-7.699918100635602,1.138372253331953e-12,-0.4606849128073268,-0.2726553346638215
circuitJeddah Corniche Circuit,-0.78267128908803,0.036917773236434206,-21.200392669285115,3.1445063622803632e-49,-0.8555569765868696,-0.7097856015891904
circuitSilverstone Circuit,0.2464891125532518,0.048401025191738035,5.092642388808884,9.450978967270466e-7,0.15093237422682027,0.3420458508796833
constructoralphatauri,-0.012049890330019844,0.01611847499539976,-0.7475825308200003,0.4557633762686981,-0.04387212738502046,0.019772346724980766
constructoralpine,-0.0027663060167235683,0.015984073347052045,-0.17306639907491167,0.8628088184284118,-0.03432319780081459,0.028790585767367448
constructoraston_martin,0.004524725172640188,0.015660349524292752,0.2889287474472593,0.7729942471458128,-0.02639304807007906,0.03544249841535944
constructorferrari,0.002556218822896666,0.016047075918351535,0.15929499155502583,0.8736289550861669,-0.029125057107929023,0.034237494753722356
constructorhaas,-0.014391675640159814,0.016943896988742973,-0.8493722341277936,0.3968901568912425,-0.04784351936391013,0.019060168083590505
constructormclaren,0.022355078700625423,0.0159449543531025,1.402015848121614,0.16276650044463928,-0.009124581589842844,0.053834738991093686
constructormercedes,0.001390465943903835,0.0167430153826337,0.08304752233257,0.9339132127477001,-0.031664783059103786,0.03444571494691146
constructorrb,-0.0024536283159715686,0.0404226330197168,-0.060699368959334525,0.951671214171399,-0.08225885869340158,0.07735160206145844
constructorred_bull,-0.004327365940913874,0.01673854463144615,-0.25852701272392553,0.7963185578054073,-0.03737378846969583,0.02871905658786808
constructorsauber,-0.0558552163255411,0.041381775737499675,-1.349753975756187,0.1789216715519963,-0.13755405431433482,0.02584362166325261
constructorwilliams,0.024948532580485624,0.018268036244631577,1.365693183788008,0.1738718293827955,-0.0111175208192263,0.061014585980197544
pit_lap,4.016972545954565e-4,6.845175443081157e-4,0.5868326647514591,0.5581085582365126,-9.497258527082188e-4,0.0017531203618991317
stop_number2,0.022941465816169026,0.015256792678216231,1.5036886388923034,0.1345503317516564,-0.007179576865831507,0.053062508498169556
stop_number3,0.01658380490607252,0.019182917825675917,0.864508989548788,0.38854841028387954,-0.021288472628215153,0.054456082440360196
stop_number4,0.0029912721397048316,0.023413677597591952,0.12775746685828107,0.8984946219340294,-0.043233671538439294,0.04921621581784896
stop_number5,0.043946113088501944,0.027245517573827382,1.612966718999587,0.10863983892413284,-0.009843920966702856,0.09773614714370674
stop_number6,0.015281047471598036,0.03773272677669545,0.4049812663164312,0.6860095640663912,-0.05921357913310649,0.08977567407630256
race_has_safety_car1,11.763319261487386,0.021965825266775346,535.528217975954,4.5616032917479243e-272,11.719952770616038,11.806685752358733
race_safety_car_lap_share,NA,NA,NA,NA,NA,NA
very_short_stop_proxy1,NA,NA,NA,NA,NA,NA
