driver,team,strategy,start_compound,second_compound,pit_lap,pit_loss_s,predicted_total_time_s,seconds_slower_than_best_for_strategy
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,5,21,5416.97516915321,0
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,6,21,5422.145087526609,5.169918373399014
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,7,21,5427.295468048657,10.320298895447195
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,8,21,5432.426310719351,15.451141566140905
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,9,21,5437.53761553869,20.562446385480143
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,10,21,5442.629382506678,25.65421335346764
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,11,21,5447.701611623312,30.726442470101574
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,12,21,5452.754302888592,35.77913373538195
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,13,21,5457.78745630252,40.81228714930967
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,14,21,5462.801071865095,45.82590271188474
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,15,21,5467.795149576317,50.819980423107154
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,16,21,5472.769689436185,55.7945202829751
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,17,21,5477.7246914447005,60.74952229149039
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,18,21,5482.660155601864,65.68498644865394
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,19,21,5487.576081907673,70.60091275446302
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,20,21,5492.4724703621305,75.49730120892036
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,21,21,5497.349320965232,80.37415181202232
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,22,21,5502.206633716984,85.23146456377344
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,23,21,5507.044408617381,90.069239464171
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,24,21,5511.862645666424,94.8874765132141
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,25,21,5516.661344864116,99.68617571090545
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,26,21,5521.440506210453,104.46533705724323
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,27,21,5526.200129705438,109.22496055222746
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,28,21,5530.94021534907,113.96504619585994
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,29,21,5535.660763141348,118.68559398813795
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,30,21,5540.361773082273,123.38660392906331
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,31,21,5545.043245171846,128.06807601863602
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,32,21,5549.705179410065,132.73001025685517
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,33,21,5554.347575796932,137.37240664372166
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,34,21,5558.970434332445,141.9952651792346
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,35,21,5563.573755016605,146.59858586339487
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,36,21,5568.1575378494135,151.1823686962034
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,37,21,5572.721782830868,155.74661367765748
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,38,21,5577.266489960968,160.29132080775798
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,39,21,5581.791659239716,164.81649008650584
ALB,Williams,HARD -> MEDIUM,HARD,MEDIUM,40,21,5586.297290667111,169.32212151390104
