driver,team,strategy,start_compound,second_compound,optimal_pit_lap,pit_loss_s,optimal_total_time_s,seconds_slower_than_best_for_strategy
ALB,Williams,MEDIUM -> SOFT,MEDIUM,SOFT,40,21,4510.863557026019,0
SAR,Williams,MEDIUM -> SOFT,MEDIUM,SOFT,40,21,4510.863557026019,0
BOT,Alfa Romeo,HARD -> SOFT,HARD,SOFT,42,21,5094.283144985895,0
ZHO,Alfa Romeo,HARD -> SOFT,HARD,SOFT,42,21,5094.283144985895,0
HUL,Haas F1 Team,HARD -> MEDIUM,HARD,MEDIUM,5,21,5203.673067534832,0
MAG,Haas F1 Team,HARD -> MEDIUM,HARD,MEDIUM,5,21,5203.673067534832,0
NOR,McLaren,MEDIUM -> HARD,MEDIUM,HARD,45,21,5280.108903793895,0
PIA,McLaren,MEDIUM -> HARD,MEDIUM,HARD,45,21,5280.108903793895,0
PER,Red Bull Racing,MEDIUM -> HARD,MEDIUM,HARD,47,21,5322.0353074385275,0
VER,Red Bull Racing,MEDIUM -> HARD,MEDIUM,HARD,47,21,5322.0353074385275,0
ALO,Aston Martin,MEDIUM -> SOFT,MEDIUM,SOFT,47,21,5356.845097483627,0
STR,Aston Martin,MEDIUM -> SOFT,MEDIUM,SOFT,47,21,5356.845097483627,0
GAS,Alpine,MEDIUM -> HARD,MEDIUM,HARD,47,21,5385.481052037317,0
OCO,Alpine,MEDIUM -> HARD,MEDIUM,HARD,47,21,5385.481052037317,0
DEV,AlphaTauri,HARD -> MEDIUM,HARD,MEDIUM,47,21,5458.255257156515,0
TSU,AlphaTauri,HARD -> MEDIUM,HARD,MEDIUM,47,21,5458.255257156515,0
LEC,Ferrari,HARD -> MEDIUM,HARD,MEDIUM,23,21,5483.586140164001,0
SAI,Ferrari,HARD -> MEDIUM,HARD,MEDIUM,23,21,5483.586140164001,0
HAM,Mercedes,MEDIUM -> HARD,MEDIUM,HARD,13,21,5634.868437310786,0
RUS,Mercedes,MEDIUM -> HARD,MEDIUM,HARD,13,21,5634.868437310786,0
